country,points,price,province,taster_name,title,variety,winery,val,,,,,,
US,92,28,California,Matt Kettmann,Bonny Doon 2014 Le Cigare Blanc White (Central Coast),Rhône-style White Blend,Bonny Doon,101,,,,,,
US,88,28,California,Matt Kettmann,Caliza 2012 Kissin' Cousins White (Paso Robles),Rhône-style White Blend,Caliza,101,,,,,,
US,86,28,California,Matt Kettmann,Caliza 2013 Kissin' Cousins White (Paso Robles),Rhône-style White Blend,Caliza,101,,,,,,
US,91,24,California,Matt Kettmann,Carol Shelton 2013 Coquille Blanc White (Paso Robles),Rhône-style White Blend,Carol Shelton,101,,,,,,
US,89,24,California,Matt Kettmann,Carol Shelton 2014 Coquille Blanc White (Paso Robles),Rhône-style White Blend,Carol Shelton,101,,,,,,
US,91,32,California,Matt Kettmann,Cass 2015 Rockin' One White (Paso Robles),Rhône-style White Blend,Cass,101,,,,,,
US,87,20,California,Matt Kettmann,Cass 2016 Mr. Blanc White (Paso Robles),Rhône-style White Blend,Cass,101,,,,,,
US,89,20,California,Matt Kettmann,Chronic Cellars 2013 Stone Fox White (Paso Robles),Rhône-style White Blend,Chronic Cellars,101,,,,,,
US,90,20,California,Matt Kettmann,Chronic Cellars 2015 Stone Fox White (Paso Robles),Rhône-style White Blend,Chronic Cellars,101,,,,,,
US,90,60,California,Matt Kettmann,Clos Solène 2014 Hommage Blanc White (Paso Robles),Rhône-style White Blend,Clos Solène,101,,,,,,
US,92,40,California,Matt Kettmann,Culton 2014 Avery White (Paso Robles),Rhône-style White Blend,Culton,101,,,,,,
US,90,36,California,Matt Kettmann,Daou 2013 Chemin de Fleurs White (Paso Robles),Rhône-style White Blend,Daou,101,,,,,,
US,88,30,California,Virginie Boone,Davis Family 2012 Cuvée Luke Saralee's Vineyard White (Russian River Valley),Rhône-style White Blend,Davis Family,101,,,,,,
US,90,30,California,Virginie Boone,Davis Family 2014 Cuvée Luke Saralee's Vineyard White (Russian River Valley),Rhône-style White Blend,Davis Family,101,,,,,,
US,93,30,California,Virginie Boone,Davis Family 2015 Cuvée Luke Saralee's Vineyard White (Russian River Valley),Rhône-style White Blend,Davis Family,101,,,,,,
US,89,32,California,Matt Kettmann,Demetria 2012 Cuvée Papou White (Santa Ynez Valley),Rhône-style White Blend,Demetria,101,,,,,,
US,91,37,California,Matt Kettmann,Demetria 2015 Cuvée Papou White (Santa Ynez Valley),Rhône-style White Blend,Demetria,101,,,,,,
US,91,24,California,Matt Kettmann,Derby 2011 Fifteen 10 White (Paso Robles),Rhône-style White Blend,Derby,101,,,,,,
US,88,24,California,Matt Kettmann,Derby 2013 Fifteen 10 White (Paso Robles),Rhône-style White Blend,Derby,101,,,,,,
US,91,35,California,Matt Kettmann,Dubost 2013 Alexandrine White (Paso Robles),Rhône-style White Blend,Dubost,101,,,,,,
US,91,30,California,Matt Kettmann,Dubost 2015 Alexandrine White (Paso Robles),Rhône-style White Blend,Dubost,101,,,,,,
US,87,24,California,Matt Kettmann,Eberle 2014 Cotes-Du-Robles Blanc White (Paso Robles),Rhône-style White Blend,Eberle,101,,,,,,
US,90,24,California,Matt Kettmann,Eberle 2015 Côtes-du-Robles Blanc White (Paso Robles),Rhône-style White Blend,Eberle,101,,,,,,
US,87,24,California,Matt Kettmann,Eberle 2016 Côtes-du-Robles Blanc White (Paso Robles),Rhône-style White Blend,Eberle,101,,,,,,
US,87,22,California,Matt Kettmann,EOS 2015 Reserve White (Santa Ynez Valley),Rhône-style White Blend,EOS,101,,,,,,
US,89,25,California,Matt Kettmann,Epiphany 2013 Inspiration White (Santa Barbara County),Rhône-style White Blend,Epiphany,101,,,,,,
US,88,19,California,Matt Kettmann,Fess Parker 2014 Marcella's White (Santa Barbara County),Rhône-style White Blend,Fess Parker,101,,,,,,
US,88,20,California,Matt Kettmann,Fess Parker 2015 Marcella's White (Santa Barbara County),Rhône-style White Blend,Fess Parker,101,,,,,,
US,92,24,California,Matt Kettmann,Grey Wolf Cellars 2014 Sentinelle White (Central Coast),Rhône-style White Blend,Grey Wolf Cellars,101,,,,,,
US,88,22,California,Matt Kettmann,Hearst Ranch 2013 Three Sisters Cuvée White (Paso Robles),Rhône-style White Blend,Hearst Ranch,101,,,,,,
US,92,28,California,Matt Kettmann,II Moons 2012 Aporia White (Paso Robles),Rhône-style White Blend,II Moons,101,,,,,,
US,90,40,California,Virginie Boone,Inglenook 2014 Blancaneaux White (Rutherford),Rhône-style White Blend,Inglenook,101,,,,,,
US,92,65,California,Virginie Boone,Inglenook 2015 Blancaneaux White (Rutherford),Rhône-style White Blend,Inglenook,101,,,,,,
US,88,17,California,Matt Kettmann,J. Lohr 2013 Gesture White (Paso Robles),Rhône-style White Blend,J. Lohr,101,,,,,,
US,91,38,California,Matt Kettmann,Jada Vineyard & Winery 2014 XCV White (Paso Robles Willow Creek District),Rhône-style White Blend,Jada Vineyard & Winery,101,,,,,,
US,88,28,California,Matt Kettmann,Kempe 2016 Bianco White (Santa Barbara County),Rhône-style White Blend,Kempe,101,,,,,,
US,88,24,California,Virginie Boone,Kenefick Ranch 2015 Estate Grown Pickett Road White White (Calistoga),Rhône-style White Blend,Kenefick Ranch,101,,,,,,
US,88,38,California,Matt Kettmann,Kiamie 2015 White Kuvee White (Adelaida District),Rhône-style White Blend,Kiamie,101,,,,,,
US,90,60,California,Matt Kettmann,Kimsey 2013 White (Ballard Canyon),Rhône-style White Blend,Kimsey,101,,,,,,
US,93,60,California,Matt Kettmann,Kimsey 2014 White (Ballard Canyon),Rhône-style White Blend,Kimsey,101,,,,,,
US,89,22,California,Matt Kettmann,Kitá 2014 Camp 4 Vineyard White (Santa Ynez Valley),Rhône-style White Blend,Kitá,101,,,,,,
US,88,22,California,Matt Kettmann,Kitá 2015 T'aya Camp 4 Vineyard White (Santa Ynez Valley),Rhône-style White Blend,Kitá,101,,,,,,
US,88,65,California,Virginie Boone,Krupp Brothers 2014 Black Bart's Bride Stagecoach Vineyard White (Napa Valley),Rhône-style White Blend,Krupp Brothers,101,,,,,,
US,90,36,California,Matt Kettmann,Levo 2013 White Lightning White (Santa Barbara County),Rhône-style White Blend,Levo,101,,,,,,
US,90,35,California,Matt Kettmann,Lone Madrone 2012 Points West White (Paso Robles),Rhône-style White Blend,Lone Madrone,101,,,,,,
US,90,35,California,Matt Kettmann,Lone Madrone 2014 Points West White (Paso Robles),Rhône-style White Blend,Lone Madrone,101,,,,,,
US,92,21,California,Matt Kettmann,Margerum 2016 M5 White (Santa Barbara County),Rhône-style White Blend,Margerum,101,,,,,,
US,87,29,California,Matt Kettmann,Midnight 2014 Aurora White (Paso Robles),Rhône-style White Blend,Midnight,101,,,,,,
US,87,29,California,Matt Kettmann,Midnight 2016 Aurora Reserve White (Paso Robles),Rhône-style White Blend,Midnight,101,,,,,,
US,90,19,California,Virginie Boone,Midsummer Cellars 2013 GMRV Field Blend White (Yolo County),Rhône-style White Blend,Midsummer Cellars,101,,,,,,
US,88,28,California,Virginie Boone,Mounts 2013 Verah White (Dry Creek Valley),Rhône-style White Blend,Mounts,101,,,,,,
US,85,32,California,Virginie Boone,Naggiar 2009 La Contessa Sylvana White (Sierra Foothills),Rhône-style White Blend,Naggiar,101,,,,,,
US,86,29,California,Virginie Boone,Orfila 2011 Estate Lotus White,Rhône-style White Blend,Orfila,101,,,,,,
US,85,24,California,Matt Kettmann,R2 2011 Vin Blancs White (Santa Barbara County),Rhône-style White Blend,R2,101,,,,,,
US,90,24,California,Matt Kettmann,Refugio Ranch 2011 Ineseño White (Santa Ynez Valley),Rhône-style White Blend,Refugio Ranch,101,,,,,,
US,86,24,California,Matt Kettmann,Sarah's Vineyard 2012 Côte de Madone Blanc White (Santa Clara Valley),Rhône-style White Blend,Sarah's Vineyard,101,,,,,,
US,90,24,California,Matt Kettmann,Sarah's Vineyard 2013 Cote de Madonne Blanc White (Santa Clara Valley),Rhône-style White Blend,Sarah's Vineyard,101,,,,,,
US,86,26,California,Matt Kettmann,Sarah's Vineyard 2014 Madonne Blanc White (Santa Clara Valley),Rhône-style White Blend,Sarah's Vineyard,101,,,,,,
US,89,22,California,Matt Kettmann,Seven Angels 2014 Unorthodox White (Central Coast),Rhône-style White Blend,Seven Angels,101,,,,,,
US,93,26,California,Jim Gordon,Skinner 2013 Seven Generations White (El Dorado),Rhône-style White Blend,Skinner,101,,,,,,
US,89,20,California,Matt Kettmann,Standing Sun 2012 Le Blanc White (Santa Barbara County),Rhône-style White Blend,Standing Sun,101,,,,,,
US,92,45,California,Matt Kettmann,Tablas Creek 2012 Esprit Blanc de Tablas Estate Grown & Bottled Roussanne-Grenache Blanc-Picpoul Blanc White (Paso Robles),Rhône-style White Blend,Tablas Creek,101,,,,,,
US,90,45,California,Matt Kettmann,Tablas Creek 2013 Esprit Blanc de Tablas White (Paso Robles),Rhône-style White Blend,Tablas Creek,101,,,,,,
US,88,27,California,Matt Kettmann,Tablas Creek 2014 Cotes de Tablas Blanc White (Adelaida District),Rhône-style White Blend,Tablas Creek,101,,,,,,
US,90,45,California,Matt Kettmann,Tablas Creek 2014 Espirit de Tablas Blanc White (Adelaida District),Rhône-style White Blend,Tablas Creek,101,,,,,,
US,91,20,California,Matt Kettmann,Tablas Creek 2014 Patelin de Tablas Blanc White (Paso Robles),Rhône-style White Blend,Tablas Creek,101,,,,,,
US,91,30,California,Matt Kettmann,Tablas Creek 2015 Côtes de Tablas Blanc Estate Grown and Bottled Viognier-Grenache Blanc-Marsanne-Roussanne White (Adelaida District),Rhône-style White Blend,Tablas Creek,101,,,,,,
US,91,25,California,Matt Kettmann,Tablas Creek 2015 Patelin de Tablas Blanc White (Paso Robles),Rhône-style White Blend,Tablas Creek,101,,,,,,
US,91,30,California,Matt Kettmann,Tercero 2014 Verbiage Blanc White (Santa Barbara County),Rhône-style White Blend,Tercero,101,,,,,,
US,89,25,California,Virginie Boone,Terre Rouge 2010 Enigma White (Sierra Foothills),Rhône-style White Blend,Terre Rouge,101,,,,,,
US,90,25,California,Virginie Boone,Terre Rouge 2011 Enigma White (Sierra Foothills),Rhône-style White Blend,Terre Rouge,101,,,,,,
US,87,25,California,Virginie Boone,Terre Rouge 2012 Enigma White (Sierra Foothills),Rhône-style White Blend,Terre Rouge,101,,,,,,
US,87,24,California,Matt Kettmann,Treana 2013 White (Central Coast),Rhône-style White Blend,Treana,101,,,,,,
US,91,30,California,Matt Kettmann,Treana 2014 Blanc White (Central Coast),Rhône-style White Blend,Treana,101,,,,,,
US,88,24,California,Virginie Boone,Twisted Oak 2010 Ruben's Blend White (Calaveras County),Rhône-style White Blend,Twisted Oak,101,,,,,,
US,88,18,California,Matt Kettmann,Two Arrowheads 2013 White (Paso Robles),Rhône-style White Blend,Two Arrowheads,101,,,,,,
US,89,28,California,Matt Kettmann,Two Moons 2013 Aporia White (Paso Robles),Rhône-style White Blend,Two Moons,101,,,,,,
US,89,25,California,Matt Kettmann,Volatus 2014 Inside Passage Reserve White (Paso Robles),Rhône-style White Blend,Volatus,101,,,,,,
US,92,20,California,Matt Kettmann,Zaca Mesa 2012 Z Blanc White (Santa Ynez Valley),Rhône-style White Blend,Zaca Mesa,101,,,,,,
US,88,20,California,Matt Kettmann,Zaca Mesa 2013 Z Blanc White (Santa Ynez Valley),Rhône-style White Blend,Zaca Mesa,101,,,,,,
US,91,20,California,Matt Kettmann,Zaca Mesa 2014 Z Blanc White (Santa Ynez Valley),Rhône-style White Blend,Zaca Mesa,101,,,,,,
US,89,32,California,Matt Kettmann,Zenaida Cellars 2015 Force de Fleurs White (Paso Robles),Rhône-style White Blend,Zenaida Cellars,101,,,,,,
US,93,34,California,Matt Kettmann,Aequorea 2013 Spanish Springs Vineyard Pinot Gris (San Luis Obispo County),Pinot Gris,Aequorea,102,,,,,,
US,89,19,California,Matt Kettmann,Alma Rosa 2014 Pinot Gris (Sta. Rita Hills),Pinot Gris,Alma Rosa,102,,,,,,
US,87,19,California,Matt Kettmann,Alma Rosa 2015 Pinot Gris (Santa Barbara County),Pinot Gris,Alma Rosa,102,,,,,,
US,90,25,California,Matt Kettmann,Babcock 2013 Naughty Little Hillsides Estate Pinot Gris (Sta. Rita Hills),Pinot Gris,Babcock,102,,,,,,
US,90,18,California,Virginie Boone,Balletto 2013 Estate Grown Estate Bottled Pinot Gris (Russian River Valley),Pinot Gris,Balletto,102,,,,,,
US,91,18,California,Virginie Boone,Balletto 2014 Estate Grown Estate Bottled Pinot Gris (Russian River Valley),Pinot Gris,Balletto,102,,,,,,
US,91,18,California,Virginie Boone,Balletto 2016 Estate Grown Estate Bottled Pinot Gris (Russian River Valley),Pinot Gris,Balletto,102,,,,,,
US,89,24,California,Jim Gordon,Balo 2013 Pinot Gris (Anderson Valley),Pinot Gris,Balo,102,,,,,,
US,88,26,California,Jim Gordon,Balo 2014 Pinot Gris (Anderson Valley),Pinot Gris,Balo,102,,,,,,
US,91,35,California,Matt Kettmann,Beauregard 2012 Regan Vineyard Pinot Gris (Santa Cruz Mountains),Pinot Gris,Beauregard,102,,,,,,
US,88,25,California,Matt Kettmann,Beauregard 2013 Regan Vineyard Orange Wine Pinot Gris (Santa Cruz Mountains),Pinot Gris,Beauregard,102,,,,,,
US,90,15,California,Jim Gordon,Boeger 2014 Pinot Gris (El Dorado),Pinot Gris,Boeger,102,,,,,,
US,87,15,California,Jim Gordon,Boeger 2015 Pinot Gris (El Dorado),Pinot Gris,Boeger,102,,,,,,
US,89,16,California,Jim Gordon,Boeger 2016 Pinot Gris (El Dorado),Pinot Gris,Boeger,102,,,,,,
US,86,22,California,Virginie Boone,Brassfield 2012 High Serenity Ranch Pinot Gris (High Valley),Pinot Gris,Brassfield,102,,,,,,
US,90,48,California,Virginie Boone,Breathless NV Ratafia Fortified Pinot Gris (Napa Valley),Pinot Gris,Breathless,102,,,,,,
US,90,25,California,Virginie Boone,Buena Vista 2013 The Count's Selection Pinot Gris (Sonoma Valley),Pinot Gris,Buena Vista,102,,,,,,
US,89,20,California,Matt Kettmann,Carlson 2014 Kingsley Vineyard Pinot Gris (Santa Ynez Valley),Pinot Gris,Carlson,102,,,,,,
US,86,22,California,Matt Kettmann,Carr 2013 Turner Vineyard Pinot Gris (Sta. Rita Hills),Pinot Gris,Carr,102,,,,,,
US,87,30,California,Virginie Boone,Chalk Hill 2014 North Slope Pinot Gris (Chalk Hill),Pinot Gris,Chalk Hill,102,,,,,,
US,90,25,California,Matt Kettmann,Claiborne & Churchill 2014 Pinot Gris (Arroyo Grande Valley),Pinot Gris,Claiborne & Churchill,102,,,,,,
US,84,14,California,Virginie Boone,Cline 2013 Estate Grown Pinot Gris (Sonoma Coast),Pinot Gris,Cline,102,,,,,,
US,88,13,California,Virginie Boone,Cline 2016 Estate Grown Pinot Gris (Sonoma Coast),Pinot Gris,Cline,102,,,,,,
US,91,20,California,Matt Kettmann,Derby 2015 Derbyshire Vineyard Pinot Gris (San Luis Obispo County),Pinot Gris,Derby,102,,,,,,
US,90,26,California,Jim Gordon,Donkey & Goat 2014 Filigreen Farm Pinot Gris (Anderson Valley),Pinot Gris,Donkey & Goat,102,,,,,,
US,91,28,California,Jim Gordon,Donkey & Goat 2015 Ramato Filigreen Farm Pinot Gris (Anderson Valley),Pinot Gris,Donkey & Goat,102,,,,,,
US,83,13,California,Jim Gordon,Entwine 2012 Pinot Gris (California),Pinot Gris,Entwine,102,,,,,,
US,91,25,California,Jim Gordon,FEL 2013 Pinot Gris (Anderson Valley),Pinot Gris,FEL,102,,,,,,
US,89,25,California,Jim Gordon,FEL 2014 Pinot Gris (Anderson Valley),Pinot Gris,FEL,102,,,,,,
US,86,18,California,Virginie Boone,Fenestra 2009 Pinot Gris (Livermore Valley),Pinot Gris,Fenestra,102,,,,,,
US,91,22,California,Matt Kettmann,Flying Goat Cellars 2013 Sierra Madre Vineyard Pinot Gris (Santa Maria Valley),Pinot Gris,Flying Goat Cellars,102,,,,,,
US,87,32,California,Virginie Boone,FlyWine 2013 The Party Starter Pinot Gris (Sonoma Valley),Pinot Gris,FlyWine,102,,,,,,
US,88,16,California,Virginie Boone,Folie à Deux 2014 Pinot Gris (Sonoma Coast),Pinot Gris,Folie à Deux,102,,,,,,
US,88,18,California,Virginie Boone,Folie à Deux 2015 Pinot Gris (Sonoma Coast),Pinot Gris,Folie à Deux,102,,,,,,
US,88,18,California,Virginie Boone,Folie à Deux 2016 Pinot Gris (Sonoma Coast),Pinot Gris,Folie à Deux,102,,,,,,
US,89,14,California,Matt Kettmann,Hahn 2014 Pinot Gris (Monterey County),Pinot Gris,Hahn,102,,,,,,
US,87,15,California,Matt Kettmann,Hahn 2015 Pinot Gris (Monterey County),Pinot Gris,Hahn,102,,,,,,
US,88,14,California,Matt Kettmann,Hahn 2016 Pinot Gris (Monterey County),Pinot Gris,Hahn,102,,,,,,
US,88,28,California,Matt Kettmann,Hahn 2016 SLH Pinot Gris (Santa Lucia Highlands),Pinot Gris,Hahn,102,,,,,,
US,92,20,California,Virginie Boone,Handley 2011 Helluva Vineyard Pinot Gris (Anderson Valley),Pinot Gris,Handley,102,,,,,,
US,90,20,California,Jim Gordon,Handley 2014 Pinot Gris (Anderson Valley),Pinot Gris,Handley,102,,,,,,
US,92,18,California,Virginie Boone,Hendry 2013 Hendry Vineyard Pinot Gris (Napa Valley),Pinot Gris,Hendry,102,,,,,,
US,88,18,California,Virginie Boone,Hendry 2014 Hendry Vineyard Pinot Gris (Napa Valley),Pinot Gris,Hendry,102,,,,,,
US,91,18,California,Matt Kettmann,Holman Ranch 2013 0.5 Brix Pinot Gris (Carmel Valley),Pinot Gris,Holman Ranch,102,,,,,,
US,91,20,California,Virginie Boone,Horse & Plow 2010 Filigreen Farm Pinot Gris (Anderson Valley),Pinot Gris,Horse & Plow,102,,,,,,
US,88,20,California,Virginie Boone,Horse & Plow 2011 McFadden Farm Pinot Gris (Mendocino),Pinot Gris,Horse & Plow,102,,,,,,
US,87,20,California,Virginie Boone,Horse & Plow 2012 McFadden Farm Pinot Gris (Mendocino),Pinot Gris,Horse & Plow,102,,,,,,
US,89,22,California,Jim Gordon,Horse & Plow 2013 McFadden Farm Made From Organically Grown Grapes Pinot Gris (Mendocino),Pinot Gris,Horse & Plow,102,,,,,,
US,84,17,California,Jim Gordon,J Vineyards & Winery 2014 Pinot Gris (California),Pinot Gris,J Vineyards & Winery,102,,,,,,
US,91,22,California,Virginie Boone,J Vineyards & Winery 2014 Pinot Gris (Russian River Valley),Pinot Gris,J Vineyards & Winery,102,,,,,,
US,90,34,California,Virginie Boone,J Vineyards & Winery 2015 Estate Grown Pinot Gris (Russian River Valley),Pinot Gris,J Vineyards & Winery,102,,,,,,
US,87,18,California,Jim Gordon,J Vineyards & Winery 2016 Pinot Gris (California),Pinot Gris,J Vineyards & Winery,102,,,,,,
US,88,30,California,Virginie Boone,Keller 2014 La Cruz Vineyard Pinot Gris (Sonoma Coast),Pinot Gris,Keller,102,,,,,,
US,90,30,California,Virginie Boone,Keller Estate 2012 La Cruz Vineyard Pinot Gris (Sonoma Coast),Pinot Gris,Keller Estate,102,,,,,,
US,90,30,California,Virginie Boone,Keller Estate 2013 La Cruz Vineyard Pinot Gris (Sonoma Coast),Pinot Gris,Keller Estate,102,,,,,,
US,90,15,California,Jim Gordon,Kendall-Jackson 2014 Vintner's Reserve Pinot Gris (California),Pinot Gris,Kendall-Jackson,102,,,,,,
US,87,15,California,Jim Gordon,Kendall-Jackson 2015 Vintner's Reserve Pinot Gris (California),Pinot Gris,Kendall-Jackson,102,,,,,,
US,87,20,California,Matt Kettmann,La Crema 2013 Pinot Gris (Monterey),Pinot Gris,La Crema,102,,,,,,
US,87,20,California,Matt Kettmann,La Crema 2015 Pinot Gris (Monterey),Pinot Gris,La Crema,102,,,,,,
US,91,20,California,Virginie Boone,Landmark 2013 Pinot Gris (Russian River Valley),Pinot Gris,Landmark,102,,,,,,
US,85,28,California,Jim Gordon,Las Positas 2013 Buttner Vineyard Pinot Gris (Livermore Valley),Pinot Gris,Las Positas,102,,,,,,
US,92,25,California,Virginie Boone,Les Belles Collines 2014 Pinot Gris (California),Pinot Gris,Les Belles Collines,102,,,,,,
US,92,25,California,Virginie Boone,Les Belles Collines 2015 Pinot Gris (California),Pinot Gris,Les Belles Collines,102,,,,,,
US,90,50,California,Jim Gordon,Lichen Estate 2013 Blanc de Gris Pinot Gris (Anderson Valley),Pinot Gris,Lichen Estate,102,,,,,,
US,90,25,California,Jim Gordon,Lichen Estate 2015 Gris Neighbors Pinot Gris (Anderson Valley),Pinot Gris,Lichen Estate,102,,,,,,
US,88,20,California,Virginie Boone,MacMurray Estate Vineyards 2013 Pinot Gris (Russian River Valley),Pinot Gris,MacMurray Estate Vineyards,102,,,,,,
US,88,20,California,Virginie Boone,MacMurray Estate Vineyards 2014 Pinot Gris (Russian River Valley),Pinot Gris,MacMurray Estate Vineyards,102,,,,,,
US,90,20,California,Virginie Boone,MacMurray Estate Vineyards 2016 Pinot Gris (Russian River Valley),Pinot Gris,MacMurray Estate Vineyards,102,,,,,,
US,90,25,California,Jim Gordon,Maldonado 2013 Los Olivos Vineyard Pinot Gris (Napa Valley),Pinot Gris,Maldonado,102,,,,,,
US,87,16,California,Virginie Boone,McFadden 2010 Pinot Gris (Potter Valley),Pinot Gris,McFadden,102,,,,,,
US,89,16,California,Jim Gordon,McFadden 2013 Blue Quail Organically Grown Grapes Pinot Gris (Potter Valley),Pinot Gris,McFadden,102,,,,,,
US,90,16,California,Jim Gordon,McFadden 2013 Estate Grown Made With Organically Grown Grapes Pinot Gris (Potter Valley),Pinot Gris,McFadden,102,,,,,,
US,85,15,California,Jim Gordon,McFadden 2014 Blue Quail Pinot Gris (Potter Valley),Pinot Gris,McFadden,102,,,,,,
US,85,15,California,Jim Gordon,McFadden 2014 Estate Bottled Organic Grapes Pinot Gris (Potter Valley),Pinot Gris,McFadden,102,,,,,,
US,88,16,California,Jim Gordon,McFadden 2015 Blue Quail Pinot Gris (Potter Valley),Pinot Gris,McFadden,102,,,,,,
US,84,24,California,Virginie Boone,Merisi 2014 Pinot Gris (Los Carneros),Pinot Gris,Merisi,102,,,,,,
US,86,14,California,Virginie Boone,Monte Smith 2014 Pinot Gris (Russian River Valley),Pinot Gris,Monte Smith,102,,,,,,
US,89,20,California,Virginie Boone,Navarro 2011 Pinot Gris (Anderson Valley),Pinot Gris,Navarro,102,,,,,,
US,91,20,California,Jim Gordon,Navarro 2012 Pinot Gris (Anderson Valley),Pinot Gris,Navarro,102,,,,,,
US,88,20,California,Jim Gordon,Navarro 2014 Pinot Gris (Anderson Valley),Pinot Gris,Navarro,102,,,,,,
US,90,20,California,Jim Gordon,Navarro 2015 Pinot Gris (Anderson Valley),Pinot Gris,Navarro,102,,,,,,
US,92,36,California,Virginie Boone,Occasio 2010 Angelica Pinot Gris (Livermore Valley),Pinot Gris,Occasio,102,,,,,,
US,87,20,California,Virginie Boone,Occasio 2011 Del Arroyo Vineyard Pinot Gris (Livermore Valley),Pinot Gris,Occasio,102,,,,,,
US,87,19,California,Virginie Boone,Philo Ridge 2010 Klindt Vineyard Pinot Gris (Anderson Valley),Pinot Gris,Philo Ridge,102,,,,,,
US,87,21,California,Virginie Boone,Philo Ridge 2010 Marguerite Vineyard Pinot Gris (Anderson Valley),Pinot Gris,Philo Ridge,102,,,,,,
US,89,21,California,Virginie Boone,Philo Ridge 2012 Marguerite Vineyard Pinot Gris (Anderson Valley),Pinot Gris,Philo Ridge,102,,,,,,
US,88,19,California,Jim Gordon,Philo Ridge 2014 Nelson Ranch Pinot Gris (Mendocino),Pinot Gris,Philo Ridge,102,,,,,,
US,85,16,California,Virginie Boone,River Road 2013 Reserve Unoaked Pinot Gris (Russian River Valley),Pinot Gris,River Road,102,,,,,,
US,88,19,California,Matt Kettmann,Sinor-LaVallee 2014 Pinot Gris (San Luis Obispo County),Pinot Gris,Sinor-LaVallee,102,,,,,,
US,88,19,California,Matt Kettmann,Sinor-LaVallee 2016 Pinot Gris (San Luis Obispo County),Pinot Gris,Sinor-LaVallee,102,,,,,,
US,90,26,California,Matt Kettmann,Siot 2013 Pinot Gris (San Luis Obispo County),Pinot Gris,Siot,102,,,,,,
US,86,20,California,Matt Kettmann,Stephen Ross 2014 Sierra Madre Vineyard Pinot Gris (Santa Maria Valley),Pinot Gris,Stephen Ross,102,,,,,,
US,88,22,California,Matt Kettmann,Stephen Ross 2015 Spanish Springs VIneyard Pinot Gris (San Luis Obispo County),Pinot Gris,Stephen Ross,102,,,,,,
US,88,22,California,Matt Kettmann,Stephen Ross 2016 Spanish Springs Vineyard Pinot Gris (San Luis Obispo County),Pinot Gris,Stephen Ross,102,,,,,,
US,86,20,California,Matt Kettmann,Still Waters 2013 Pinot Gris (Paso Robles),Pinot Gris,Still Waters,102,,,,,,
US,88,17,California,Matt Kettmann,Tangent 2014 Paragon Vineyard Pinot Gris (Edna Valley),Pinot Gris,Tangent,102,,,,,,
